date,open,close,high,low,volume,amount
2024-12-13,49.5,50.62,51.9,49.3,306632,1551351559.0
2024-12-16,50.49,48.4,50.49,47.55,159077,775639391.0
2024-12-17,47.8,46.99,48.29,46.91,100850,478825485.0
2024-12-18,47.39,47.54,47.99,46.75,74218,352120959.0
2024-12-19,46.99,47.22,48.06,46.4,94581,446650620.0
2024-12-20,47.29,49.29,51.2,47.05,184993,910732286.0
2024-12-23,49.1,49.28,50.99,49.05,152524,763125918.0
2024-12-24,49.5,49.99,50.05,48.6,102123,504292270.0
2024-12-25,49.66,49.55,50.75,49.4,117719,587976035.0
2024-12-26,49.6,49.81,50.29,48.92,113111,563707961.0
2024-12-27,49.81,50.03,51.86,48.9,181676,921166130.0
2024-12-30,49.99,49.3,50.2,48.98,128041,632989531.0
2024-12-31,49.17,46.47,49.17,46.08,167297,790833229.0
2025-01-02,46.49,43.6,46.49,42.91,140482,625482138.0
2025-01-03,43.8,42.51,44.0,42.36,99788,429071314.0
2025-01-06,42.51,41.69,42.8,41.4,74844,314208427.0
2025-01-07,41.67,42.43,42.47,41.62,79543,334964521.0
2025-01-08,42.02,41.94,42.51,40.23,108273,448531837.0
2025-01-09,41.56,42.22,42.99,41.56,78184,332111126.0
2025-01-10,42.18,41.93,43.92,41.92,118126,509036929.0
2025-01-13,41.25,43.93,45.52,41.0,157892,683962572.0
2025-01-14,44.0,45.1,45.67,43.7,140345,627044501.0
2025-01-15,44.95,44.86,45.97,44.12,104979,471065609.0
2025-01-16,45.18,45.67,47.0,45.18,164520,758393242.0
2025-01-17,45.9,46.86,48.2,45.46,166291,777410954.0
2025-01-20,46.95,46.52,47.5,46.14,106479,497230631.0
2025-01-21,46.85,47.18,47.72,46.56,110004,518094631.0
2025-01-22,47.02,46.54,47.6,46.26,97443,456243557.0
2025-01-23,47.2,46.7,48.78,46.65,138208,659142773.0
2025-01-24,46.66,47.3,47.36,46.61,83916,394847639.0
2025-01-27,47.3,45.85,47.35,45.85,79622,371749926.0
2025-02-05,48.3,47.6,48.64,47.48,158411,761749346.0
2025-02-06,47.35,49.25,49.8,47.2,179291,876804284.0
2025-02-07,49.26,49.06,50.21,48.32,176126,868857649.0
2025-02-10,49.26,49.04,49.52,48.64,116441,571246217.0
2025-02-11,49.01,47.72,49.27,47.52,94524,453748458.0
2025-02-12,47.8,49.69,49.86,47.2,207315,1011600149.0
2025-02-13,49.4,48.39,49.47,48.35,108713,530200438.0
2025-02-14,47.0,46.79,47.8,46.38,172517,807316771.0
2025-02-17,46.5,51.72,53.8,46.1,367268,1829850207.0
2025-02-18,50.6,51.1,53.48,50.52,322000,1679404359.0
2025-02-19,51.85,60.28,61.0,51.85,719702,4128958284.0
2025-02-20,59.6,58.23,59.89,56.82,383475,2220973864.0
2025-02-21,58.5,59.78,61.94,57.5,611657,3685289615.0
2025-02-24,58.8,59.86,61.94,58.17,409984,2460798703.0
2025-02-25,57.86,56.51,59.22,56.28,353229,2035768285.0
2025-02-26,57.47,57.31,57.85,54.86,247381,1401231359.0
2025-02-27,57.0,55.19,58.25,53.9,274065,1523080232.0
2025-02-28,54.86,52.4,55.19,52.1,198334,1060750316.0
2025-03-03,52.6,51.81,52.88,51.25,146554,763211287.0
2025-03-04,51.1,52.27,53.35,50.23,217825,1129216571.0
2025-03-05,52.77,54.3,54.62,52.45,238817,1277727722.0
2025-03-06,54.88,54.12,55.88,53.84,224256,1227729249.0
2025-03-07,53.6,54.39,56.06,53.28,208213,1136993905.0
2025-03-10,54.46,53.98,54.46,52.88,133809,717737493.0
2025-03-11,52.86,53.81,55.38,52.5,145730,787423354.0
2025-03-12,54.7,53.47,54.85,53.4,121617,656700280.0
2025-03-13,53.4,52.58,53.93,51.86,122379,643953153.0
2025-03-14,52.6,53.99,54.1,52.5,136259,728595769.0
2025-03-17,54.12,53.2,54.26,53.02,92347,493312143.0
2025-03-18,53.6,53.11,54.33,53.01,92155,493435157.0
2025-03-19,52.87,52.3,53.24,52.0,80674,423072311.0
2025-03-20,52.11,51.37,52.27,51.33,89843,464084183.0
2025-03-21,51.2,49.75,51.82,49.54,121207,611161396.0
2025-03-24,49.62,48.7,50.0,47.83,102336,499763663.0
2025-03-25,48.7,47.2,48.76,46.8,98072,467265846.0
2025-03-26,47.1,47.08,48.0,47.01,87477,414937924.0
2025-03-27,47.09,47.76,49.25,46.67,136207,653406078.0
2025-03-28,47.3,45.88,47.93,45.81,125624,585784433.0
2025-03-31,45.72,45.78,46.38,45.01,86513,393990437.0
2025-04-01,45.95,46.2,46.94,45.95,79557,369324751.0
2025-04-02,46.5,46.91,47.22,46.07,75473,352660144.0
2025-04-03,46.3,46.67,47.99,46.18,94016,443547729.0
2025-04-07,44.1,40.76,45.38,37.81,235110,994586570.0
2025-04-08,40.76,41.46,42.7,40.71,170994,713955485.0
2025-04-09,40.7,43.2,43.83,39.03,175072,744084577.0
2025-04-10,44.1,43.7,45.05,43.7,141698,626389794.0
2025-04-11,43.93,52.33,52.44,43.62,507252,2517015039.0
2025-04-14,51.0,52.48,53.5,50.88,314353,1649654816.0
2025-04-15,52.2,51.79,52.78,50.85,152648,787919701.0
2025-04-16,52.4,51.93,53.78,51.51,166903,875174649.0
2025-04-17,51.81,52.0,54.23,51.62,197820,1041052448.0
2025-04-18,51.8,52.08,52.16,50.88,84184,434586912.0
2025-04-21,52.0,51.67,52.23,50.93,86504,445100619.0
2025-04-22,51.8,53.86,55.2,51.8,232095,1240173218.0
2025-04-23,53.9,53.84,54.18,52.83,125870,674099413.0
2025-04-24,53.5,52.46,53.76,52.0,95653,503400397.0
2025-04-25,52.01,51.2,52.46,49.5,145850,739643681.0
2025-04-28,51.39,51.03,51.85,50.81,57346,294080604.0
2025-04-29,50.91,51.4,52.37,50.65,57241,294612048.0
2025-04-30,51.4,51.35,52.1,51.03,75717,390428225.0
2025-05-06,51.45,51.96,52.5,51.45,75807,394464878.0
2025-05-07,52.6,51.8,53.36,51.15,117466,610270884.0
2025-05-08,51.75,52.0,52.79,50.7,109296,562881639.0
2025-05-09,49.5,47.15,49.5,45.76,322637,1514331120.0
2025-05-12,47.15,47.19,47.41,46.07,145914,683070741.0
2025-05-13,47.68,46.15,47.7,46.08,101762,475195575.0
2025-05-14,46.0,46.31,46.8,45.8,70716,327137844.0
2025-05-15,46.09,45.18,46.26,45.05,67598,308476781.0
2025-05-16,45.1,45.45,46.22,45.0,61837,282460725.0
2025-05-19,45.4,46.68,47.39,45.09,115299,536556307.0
2025-05-20,46.43,46.55,47.05,46.19,72105,335753046.0
2025-05-21,46.44,47.97,47.97,46.1,118828,560319577.0
2025-05-22,47.44,47.21,48.4,47.15,74721,355859930.0
2025-05-23,47.08,46.6,47.7,46.57,56645,267065974.0
2025-05-26,47.34,48.17,49.12,47.3,108573,524956796.0
