date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,name
2025-03-07,688347,53.6,54.39,56.06,53.28,208213,1136993905.0,5.14,0.5,0.27,5.32,华虹公司
2025-03-10,688347,54.46,53.98,54.46,52.88,133809,717737493.0,2.9,-0.75,-0.41,3.42,华虹公司
2025-03-11,688347,52.86,53.81,55.38,52.5,145730,787423354.0,5.34,-0.31,-0.17,3.72,华虹公司
2025-03-12,688347,54.7,53.47,54.85,53.4,121617,656700280.0,2.69,-0.63,-0.34,3.11,华虹公司
2025-03-13,688347,53.4,52.58,53.93,51.86,122379,643953153.0,3.87,-1.66,-0.89,3.13,华虹公司
2025-03-14,688347,52.6,53.99,54.1,52.5,136259,728595769.0,3.04,2.68,1.41,3.48,华虹公司
2025-03-17,688347,54.12,53.2,54.26,53.02,92347,493312143.0,2.3,-1.46,-0.79,2.36,华虹公司
2025-03-18,688347,53.6,53.11,54.33,53.01,92155,493435157.0,2.48,-0.17,-0.09,2.35,华虹公司
2025-03-19,688347,52.87,52.3,53.24,52.0,80674,423072311.0,2.33,-1.53,-0.81,2.06,华虹公司
2025-03-20,688347,52.11,51.37,52.27,51.33,89843,464084183.0,1.8,-1.78,-0.93,2.3,华虹公司
2025-03-21,688347,51.2,49.75,51.82,49.54,121207,611161396.0,4.44,-3.15,-1.62,3.1,华虹公司
2025-03-24,688347,49.62,48.7,50.0,47.83,102336,499763663.0,4.36,-2.11,-1.05,2.61,华虹公司
2025-03-25,688347,48.7,47.2,48.76,46.8,98072,467265846.0,4.02,-3.08,-1.5,2.51,华虹公司
2025-03-26,688347,47.1,47.08,48.0,47.01,87477,414937924.0,2.1,-0.25,-0.12,2.23,华虹公司
2025-03-27,688347,47.09,47.76,49.25,46.67,136207,653406078.0,5.48,1.44,0.68,3.48,华虹公司
2025-03-28,688347,47.3,45.88,47.93,45.81,125624,585784433.0,4.44,-3.94,-1.88,3.21,华虹公司
2025-03-31,688347,45.72,45.78,46.38,45.01,86513,393990437.0,2.99,-0.22,-0.1,2.21,华虹公司
2025-04-01,688347,45.95,46.2,46.94,45.95,79557,369324751.0,2.16,0.92,0.42,2.03,华虹公司
2025-04-02,688347,46.5,46.91,47.22,46.07,75473,352660144.0,2.49,1.54,0.71,1.93,华虹公司
2025-04-03,688347,46.3,46.67,47.99,46.18,94016,443547729.0,3.86,-0.51,-0.24,2.4,华虹公司
2025-04-07,688347,44.1,40.76,45.38,37.81,235110,994586570.0,16.22,-12.66,-5.91,6.01,华虹公司
2025-04-08,688347,40.76,41.46,42.7,40.71,170994,713955485.0,4.88,1.72,0.7,4.37,华虹公司
2025-04-09,688347,40.7,43.2,43.83,39.03,175072,744084577.0,11.58,4.2,1.74,4.47,华虹公司
2025-04-10,688347,44.1,43.7,45.05,43.7,141698,626389794.0,3.13,1.16,0.5,3.62,华虹公司
2025-04-11,688347,43.93,52.33,52.44,43.62,507252,2517015039.0,20.18,19.75,8.63,12.96,华虹公司
2025-04-14,688347,51.0,52.48,53.5,50.88,314353,1649654816.0,5.01,0.29,0.15,8.03,华虹公司
2025-04-15,688347,52.2,51.79,52.78,50.85,152648,787919701.0,3.68,-1.31,-0.69,3.9,华虹公司
2025-04-16,688347,52.4,51.93,53.78,51.51,166903,875174649.0,4.38,0.27,0.14,4.26,华虹公司
2025-04-17,688347,51.81,52.0,54.23,51.62,197820,1041052448.0,5.03,0.13,0.07,5.05,华虹公司
2025-04-18,688347,51.8,52.08,52.16,50.88,84184,434586912.0,2.46,0.15,0.08,2.15,华虹公司
2025-04-21,688347,52.0,51.67,52.23,50.93,86504,445100619.0,2.5,-0.79,-0.41,2.21,华虹公司
2025-04-22,688347,51.8,53.86,55.2,51.8,232095,1240173218.0,6.58,4.24,2.19,5.93,华虹公司
2025-04-23,688347,53.9,53.84,54.18,52.83,125870,674099413.0,2.51,-0.04,-0.02,3.22,华虹公司
2025-04-24,688347,53.5,52.46,53.76,52.0,95653,503400397.0,3.27,-2.56,-1.38,2.44,华虹公司
2025-04-25,688347,52.01,51.2,52.46,49.5,145850,739643681.0,5.64,-2.4,-1.26,3.73,华虹公司
2025-04-28,688347,51.39,51.03,51.85,50.81,57346,294080604.0,2.03,-0.33,-0.17,1.46,华虹公司
2025-04-29,688347,50.91,51.4,52.37,50.65,57241,294612048.0,3.37,0.73,0.37,1.46,华虹公司
2025-04-30,688347,51.4,51.35,52.1,51.03,75717,390428225.0,2.08,-0.1,-0.05,1.93,华虹公司
2025-05-06,688347,51.45,51.96,52.5,51.45,75807,394464878.0,2.04,1.19,0.61,1.94,华虹公司
2025-05-07,688347,52.6,51.8,53.36,51.15,117466,610270884.0,4.25,-0.31,-0.16,3.0,华虹公司
2025-05-08,688347,51.75,52.0,52.79,50.7,109296,562881639.0,4.03,0.39,0.2,2.79,华虹公司
2025-05-09,688347,49.5,47.15,49.5,45.76,322637,1514331120.0,7.19,-9.33,-4.85,8.24,华虹公司
2025-05-12,688347,47.15,47.19,47.41,46.07,145914,683070741.0,2.84,0.08,0.04,3.73,华虹公司
2025-05-13,688347,47.68,46.15,47.7,46.08,101762,475195575.0,3.43,-2.2,-1.04,2.6,华虹公司
2025-05-14,688347,46.0,46.31,46.8,45.8,70716,327137844.0,2.17,0.35,0.16,1.81,华虹公司
2025-05-15,688347,46.09,45.18,46.26,45.05,67598,308476781.0,2.61,-2.44,-1.13,1.73,华虹公司
2025-05-16,688347,45.1,45.45,46.22,45.0,61837,282460725.0,2.7,0.6,0.27,1.58,华虹公司
2025-05-19,688347,45.4,46.68,47.39,45.09,115299,536556307.0,5.06,2.71,1.23,2.95,华虹公司
2025-05-20,688347,46.43,46.55,47.05,46.19,72105,335753046.0,1.84,-0.28,-0.13,1.84,华虹公司
2025-05-21,688347,46.44,47.97,47.97,46.1,118828,560319577.0,4.02,3.05,1.42,3.04,华虹公司
2025-05-22,688347,47.44,47.21,48.4,47.15,74721,355859930.0,2.61,-1.58,-0.76,1.91,华虹公司
2025-05-23,688347,47.08,46.6,47.7,46.57,56645,267065974.0,2.39,-1.29,-0.61,1.45,华虹公司
2025-05-26,688347,47.34,48.17,49.12,47.3,108573,524956796.0,3.91,3.37,1.57,2.77,华虹公司
2025-05-27,688347,48.0,47.2,48.16,47.03,53614,254398391.0,2.35,-2.01,-0.97,1.37,华虹公司
2025-05-28,688347,47.2,46.56,47.65,46.36,45390,212352681.0,2.73,-1.36,-0.64,1.16,华虹公司
