date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,name,tr,atr20,entry_high,exit_low,cash,shares,units,stop_price,next_add_price,equity,action,execution_price,action_reason,strategy_return,strategy_net_value,running_peak,drawdown,buy_hold_equity,buy_hold_net_value
2025-10-16,688347,123.12,121.15,126.12,119.88,276684,3388382236.0,4.99,-3.13,-3.92,6.79,华虹公司,6.240000000000009,8.85769158437062,137.47,67.08,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,781427.7592379501,,,,-0.0230342682718524,1.5628555184759,849906.7592379501,-0.08057236779879262,1147423.121616727,2.294846243233454
2025-10-17,688347,121.14,117.74,124.5,117.37,320943,3878646344.0,5.89,-2.81,-3.41,7.87,华虹公司,7.1299999999999955,8.771307005152089,137.47,67.08,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,765400.7592379501,,,,-0.02050989334654496,1.5308015184759,849906.7592379501,-0.09942973047510584,1115126.6887259877,2.2302533774519753
2025-10-20,688347,121.5,117.18,122.5,114.84,272136,3221780875.0,6.51,-0.48,-0.56,6.67,华虹公司,7.659999999999997,8.715741654894483,137.47,72.4,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,762768.7592379501,,,,-0.003438721438714598,1.5255375184759001,849906.7592379501,-0.10252654076799006,1109822.8756999427,2.2196457513998853
2025-10-21,688347,118.34,116.45,120.38,115.4,304930,3576374885.0,4.25,-0.62,-0.73,7.48,华虹公司,4.97999999999999,8.528954572149757,137.47,73.73,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,759337.7592379501,,,,-0.004498086685442826,1.5186755184759002,849906.7592379501,-0.10656345418549995,1102908.9765767052,2.2058179531534106
2025-10-22,688347,112.01,114.6,115.96,110.28,279809,3161858923.0,4.88,-1.59,-1.85,6.86,华虹公司,6.170000000000002,8.41100684354227,137.47,75.5,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,750642.7592379501,,,,-0.01145076732220729,1.5012855184759002,849906.7592379501,-0.11679398818877829,1085387.4514013776,2.170774902802755
2025-10-23,688347,113.06,110.85,115.75,108.8,232496,2567979893.0,6.06,-3.27,-3.75,5.7,华虹公司,6.950000000000003,8.337956501365156,137.47,75.5,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,733017.7592379501,,,,-0.02347987745581248,1.4660355184759002,849906.7592379501,-0.13753155711434262,1049870.846316254,2.099741692632508
2025-10-24,688347,113.06,127.5,128.88,113.06,517762,6328719156.0,14.27,15.02,16.65,12.7,华虹公司,18.03,8.822558676296898,137.47,79.12,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,811272.7592379501,,,,0.1067573043269161,1.6225455184759001,849906.7592379501,-0.045456751084837044,1207564.5728942028,2.4151291457884057
2025-10-27,688347,130.68,133.5,136.0,122.23,513044,6586853394.0,10.8,4.71,6.0,12.58,华虹公司,13.769999999999996,9.069930742482052,137.47,79.12,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,839472.7592379501,,,,0.03476019585137924,1.6789455184759001,849906.7592379501,-0.012276640803934091,1264391.1410304005,2.528782282060801
2025-10-28,688347,127.6,134.4,138.35,127.01,369768,4952897490.0,8.49,0.67,0.9,9.07,华虹公司,11.33999999999999,9.18343420535795,137.47,79.12,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,843702.7592379501,,,,0.0050388770254319315,1.6874055184759003,849906.7592379501,-0.007299624261798643,1272915.1262508302,2.5458302525016605
2025-10-29,688347,132.11,140.0,142.09,130.01,394099,5398338979.0,8.99,4.17,5.6,9.67,华虹公司,12.080000000000013,9.328262495090053,138.35,79.12,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,870022.7592379501,,,,0.031195820698480148,1.7400455184759003,870022.7592379501,0.0,1325953.2565112815,2.651906513022563
2025-10-30,688347,137.98,133.34,139.74,130.28,298008,4046255880.0,6.76,-4.76,-6.66,7.31,华虹公司,9.719999999999999,9.34784937033555,142.09,80.33,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,838720.7592379501,,,,-0.035978369149121225,1.6774415184759002,870022.7592379501,-0.035978369149121225,1262875.765880102,2.525751531760204
